2025-10-30 01:24:52,561 | INFO | \U0001f680 Loading model: facebook/bart-large-cnn
2025-10-30 01:24:56,474 | WARNING | Xet Storage is enabled for this repo, but the 'hf_xet' package is not installed. Falling back to regular HTTP download. For better performance, install the package with: `pip install huggingface_hub[hf_xet]` or `pip install hf_xet`
2025-10-30 01:25:36,170 | INFO | \U0001f4c2 Loading datasets...
2025-10-30 01:31:40,783 | INFO | \U0001f680 Loading model: facebook/bart-large-cnn
2025-10-30 01:31:44,666 | INFO | \U0001f4c2 Loading datasets...
2025-10-30 01:32:24,541 | INFO | \U0001f504 Tokenizing datasets...
2025-10-30 01:36:18,982 | INFO | \U0001f3cb\ufe0f\u200d\u2642\ufe0f Starting training...
2025-10-30 01:40:24,565 | INFO | \U0001f680 Loading model: facebook/bart-large-cnn
2025-10-30 01:40:28,437 | INFO | \U0001f4c2 Loading datasets...
2025-10-30 01:40:30,299 | INFO | \U0001f504 Tokenizing datasets...
2025-10-30 01:45:35,124 | INFO | \U0001f3cb\ufe0f\u200d\u2642\ufe0f Starting training...
